1;Argentina;Canadá;a
2;Peru;Chile;a
3;Equador;Venezuela;b
4;México;Jamaica;b
5;Estados Unidos;Bolívia;c
6;Uruguai;Panamá;c
7;Colômbia;Paraguai;d
8;Brasil;Costa Rica;d
9;Peru;Canadá;a
10;Chile;Argentina;a
11;Equador;Jamaica;b
12;Venezuela;México;b
13;Panamá;Estados Unidos;c
14;Uruguai;Bolívia;c
15;Colômbia;Costa Rica;d
16;Paraguai;Brasil;d
17;Argentina;Peru;a
18;Canadá;Chile;a
19;Jamaica;Venezuela;b
20;México;Equador;b
21;Bolívia;Panamá;c
22;Estados Unidos;Uruguai;c
23;Brasil;Colômbia;d
24;Costa Rica;Paraguai;d
